ID	4670	1680	8033	7145	7167	4434	7624	7701	8620	4402	8171	6591	7765	8094	4632	7160	4244	7156	8512	4666	A4T7
RCN3	781.4678	295.2167	434.7656	1742.8497	348.8856	432.7380	518.2257	321.3909	207.1737	461.7890	176.0989	1286.7384	1466.2921	6709.5813	3789.7152	190.5363	265.2937	47.8856	259.2197	240.2063	226.7326
RDBP	2610.1544	1763.4081	2005.7578	997.8644	1385.6077	1399.3489	2574.7914	736.5648	1953.2669	1494.4472	2246.2323	2703.0346	998.7516	3334.2274	2864.4619	847.7350	1531.0586	955.8458	1285.9433	2684.6381	1223.2092
RNF170	329.6433	759.3423	619.9219	503.9425	609.5097	726.6561	610.4523	840.8851	372.6745	480.6080	406.4036	257.4671	640.4494	1351.8105	712.6744	565.2997	1156.1218	809.0796	628.0064	395.1456	457.4353
ROGDI	343.0368	653.9611	669.1406	206.5815	785.1412	599.8191	452.7888	417.2813	1056.1095	661.5598	1112.7651	354.8387	206.6167	311.1310	359.3959	283.2808	876.8653	1085.1990	1350.0802	490.7250	593.7395
RPL39	1941.5061	2000.0000	383.5938	1095.1730	403.5661	1898.7113	332.4550	1023.1823	193.4812	750.1056	1092.8240	365.5914	694.1323	972.7313	1020.0726	504.1009	1150.5367	997.5124	207.3757	377.5388	475.9620
SAMD5	30.6136	129.2975	216.0156	45.9717	81.7236	133.3936	279.7541	713.3825	89.2990	41.7396	413.7059	921.7443	124.2197	17.2851	15.2934	388.0126	23.0387	343.2836	71.6195	10.5640	81.1650
SGIP1	46.4671	28.4006	50.0000	33.7513	43.0906	71.6708	9.6618	91.6754	20.2411	45.8411	13.4813	27.4791	193.5081	14.9009	41.2923	70.6625	37.0015	55.9701	38.4821	17.1037	33.0836
SIPA1L1	913.4891	508.2212	633.9844	1472.2570	591.9762	2514.5829	657.4440	973.6565	1424.0214	1208.7581	696.2505	1678.0167	1335.2060	746.8336	484.8021	1181.0726	1051.7497	1918.5323	1561.7317	2252.6567	713.2814
SLC16A14	5834.6317	62.7803	4207.4219	152.4630	548.2912	144.2460	104.5235	4409.9052	224.4382	331.0212	18.2559	461.1708	350.1873	1026.9706	120.0535	6801.2618	224.4524	843.9055	75.8952	191.9135	3009.2799
SLC25A36	619.6529	1100.1495	1079.6875	1592.1324	1763.4473	1537.1920	1397.4528	1774.4995	1653.2222	1565.3538	3026.8221	1008.9606	1273.4082	565.6385	616.3258	854.2587	1149.8386	2489.4279	1888.2950	971.1375	1508.6100
SLC36A1	226.8689	163.6771	276.9531	284.5588	196.1367	436.1293	569.6091	320.3372	555.4398	255.7452	240.6965	569.8925	453.1835	280.7331	283.6934	400.6309	607.3828	106.3433	276.8573	470.1000	326.4244
SNCA	22.4136	28.4006	10.9375	20.9491	13.3730	70.3143	79.9297	20.0211	89.8943	42.7046	7.0215	175.6272	79.2759	269.4084	56.5857	58.0442	32.4636	27.3632	190.2726	202.2260	26.9080
SNX13	760.4209	1470.8520	1226.1719	1073.6419	1040.7132	818.4490	945.5424	1167.5448	641.1668	1261.5960	1339.4186	1216.2485	1657.9276	850.5439	1284.6492	1246.0568	1638.1883	1403.6070	949.7595	722.8825	671.3756
SOCS1	110.1544	315.3961	301.9531	58.7739	27.9346	149.6722	53.5793	232.8767	91.0850	88.7870	81.4492	179.2115	210.3620	17.8811	335.6911	124.2902	67.3706	27.3632	84.4468	147.8966	151.3021
SRF	1437.2010	939.4619	1328.5156	2005.8774	707.2808	1223.8300	1557.7514	884.0885	1592.4989	1280.1737	2501.6149	2225.2091	1506.2422	1265.3852	765.4368	1113.5647	830.0899	957.7114	2635.4890	742.2499	1463.1752
SRGAP2	371.1904	391.6293	519.1406	907.2129	879.9406	1317.6577	3050.5051	991.5701	538.1753	843.9592	1305.1538	3018.5185	1185.3933	838.6232	782.2596	661.8297	1360.6772	291.0448	657.9369	960.8250	501.5467
SUMO2	5076.3974	5606.1286	4145.7031	5090.0521	3666.8648	3276.9613	4826.9653	2706.0063	3378.4789	4046.0824	3239.1518	7422.9391	3285.8926	4433.3184	5595.1061	2763.4069	3542.7175	3076.4925	1789.4174	3427.7809	2503.3221
TAS1R3	31.4336	9.7160	17.9688	9.3107	86.4785	14.6959	51.8226	122.2339	39.8869	54.7681	3.3703	8.9606	18.1024	275.3688	68.8205	7.5710	4.1888	38.5572	21.3789	5.0305	11.4690
TBC1D12	374.7437	204.0359	105.4688	214.7284	279.0490	189.2381	388.6693	404.6365	260.1578	206.2851	174.1328	234.1697	308.9888	197.2880	299.7515	311.6719	224.4524	356.3433	211.6515	125.0079	272.6085
TFG	4642.6131	1824.3647	4084.7656	4927.1146	2120.0594	3281.9353	3533.1577	2353.0032	1722.2801	3154.5932	1601.1796	1324.3728	2749.6879	5506.7799	2111.2598	2694.6372	2702.5046	2591.4179	1481.5607	3634.7859	2796.2219
THTPA	333.7433	339.3124	158.5938	93.1072	211.2927	246.8913	184.4532	282.4025	338.1456	412.5701	897.0650	264.0382	196.0050	155.5655	384.6301	246.0568	327.0792	470.7711	343.1320	289.2536	224.0859
TMEM109	2030.0670	3127.8027	2250.3906	1656.7255	1826.4487	2773.4569	2736.4954	2590.0948	2090.1920	3553.8935	1745.8222	2242.5329	2087.3908	2159.4397	2401.8352	2115.4574	2030.5437	1416.0448	2326.5633	3880.0226	1921.4927
TMF1	1315.2932	1453.6622	960.1562	2623.8762	1140.2675	1012.4350	1245.9376	1571.1275	652.4780	964.5938	813.0880	612.9032	2382.6467	1159.8868	1384.0566	1103.4700	1653.8965	1646.7662	1656.3335	767.1509	1404.5071
TNFRSF6B	84.2367	5.2466	113.8242	45.7214	45.7623	113.6423	115.7312	45.4689	106.0217	36.8539	15.4894	35.3166	69.4632	28.7111	97.1516	38.2334	59.8935	16.0261	157.3437	1145.0343	415.8029
TP53BP2	1032.1170	845.2915	1591.4062	1449.5621	1792.5706	982.3649	989.4598	1438.3562	1529.9896	1461.1255	1151.2428	3441.4576	2150.4370	1546.7143	1296.1193	1640.3785	1806.0913	1378.1095	959.9145	1403.0057	1437.5906
TPRA1	865.3820	969.3572	578.9062	787.9193	638.3358	955.9123	950.8125	546.8915	764.3995	1033.8380	751.5798	494.6237	564.2946	544.1812	971.1336	518.6120	652.0639	704.6020	781.4003	485.9460	895.4615
TTC31	373.9237	493.2735	522.2656	320.0559	688.5587	619.4619	794.4664	439.4099	616.1631	502.5635	1041.7076	458.1840	310.2372	424.3779	250.8125	472.5552	990.3133	417.2886	498.1293	350.3741	477.7265
VGLL3	429.9576	102.3916	616.7969	186.7962	254.0862	2592.8103	12292.9293	510.0105	47.6261	299.6562	36.7926	133.8112	832.7091	46.4908	116.2302	670.0315	128.4580	221.3930	278.4607	126.2655	192.3257
VPS39	2051.3872	1544.8430	1803.9062	1093.4272	2502.2288	1901.1983	1996.9258	1237.0917	1400.8037	1601.5441	1838.7867	537.6344	1005.6180	1504.3958	711.9098	1455.5205	1538.0051	3424.7512	2237.3063	1244.2935	2163.2232
XYLT1	575.0991	76.2332	375.7812	384.6490	265.3789	434.3206	26.3505	2129.6101	95.2523	337.0529	226.9344	434.2891	800.8739	119.8033	100.1721	389.9054	206.6498	31.0945	199.3586	145.8844	107.1907
YIF1A	2391.6906	1488.7892	1166.0156	1078.8792	1034.7697	1365.5890	1912.6043	1890.4110	2763.5065	1648.8329	1175.6776	735.3644	1601.7478	4447.6233	3014.3376	657.4132	1783.4017	777.3632	973.2763	1736.0246	1497.1410
ZBTB25	75.1647	54.6637	70.0195	61.8697	109.5186	106.2514	70.9179	166.7650	114.6421	99.4222	156.6381	137.6464	95.8177	59.7109	81.6976	92.2776	153.4165	132.8296	104.5644	138.2708	74.3939
ZNF330	483.2582	620.3288	579.6875	499.8691	858.2467	559.3489	339.0426	1279.2413	607.2332	562.3982	685.5779	579.4504	626.0924	559.0821	389.2181	573.5016	539.6631	962.6866	589.5243	694.7117	517.4268
ZNF396	12.3001	89.6861	86.7188	26.7683	68.6478	38.6615	18.0061	16.8599	36.3149	64.6601	22.4688	8.9606	31.8352	69.1402	27.5282	36.5931	68.0688	120.0249	105.2913	7.0427	22.0557
ZNF485	53.3005	79.9701	61.3281	40.7344	39.5245	89.5320	38.6473	48.4721	61.3186	41.4983	160.6516	48.3871	68.0400	50.6631	58.1151	80.7571	37.3506	34.2040	51.8439	68.1632	72.3427
ZNF506	296.0230	283.2586	118.3594	343.3327	105.4978	434.3206	191.4800	455.2160	455.4249	115.0853	240.6965	203.1063	300.2497	278.3490	237.8130	376.6562	146.2606	768.0348	206.8413	249.0096	177.7690
ZNF700	155.5282	284.0060	228.1250	125.1127	252.3031	266.5612	190.6017	242.3604	553.6538	140.1773	287.0383	218.0406	351.4357	128.7439	155.9931	195.5836	421.6773	139.3035	216.4618	243.7276	344.0689
ZNF711	17.7668	21.6741	23.8281	14.5480	67.4591	32.5571	29.8639	141.2013	344.6942	173.7137	371.8579	610.5137	53.6829	151.3932	2.2940	58.6751	13.6138	174.7512	142.1700	108.1557	94.3984
